,公司名称,投资方,更新时间,融资轮次,行业,详情URL
462,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
463,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
464,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
465,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
466,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
467,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
468,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
469,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
470,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
471,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
472,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
473,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
474,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
475,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
476,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
477,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
478,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
479,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
480,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
481,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
482,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
483,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
484,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
485,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
486,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
487,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
488,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
489,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
490,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
491,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
492,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
493,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
494,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
495,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
496,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
497,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
498,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
499,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
500,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
501,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
502,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
503,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
504,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
505,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
506,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
507,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
508,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
509,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
510,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
511,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
512,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
513,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
514,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
