appcategory,appname,comments,company,install,love,platform,size,update,version
网上购物-团购,全民优惠,471,上海青墨网络科技有限公司,287万,93.00%,Android 4.0.2 以上,13.31MB,2017年09月05日,4.0.4
网上购物-团购,联掌门户,1,联掌门户网络科技有限公司,3.9万,暂无,Android 4.1.x 以上,20.28MB,2018年02月22日,3.2.1
网上购物-团购,nubia商城,6,努比亚技术有限公司,14.9万,50.00%,Android 4.4.4 以上,8.28MB,2018年04月03日,1.4.7.0408
网上购物-团购,拼省省,1,厦门二家居会网络科技有限公司,3135,暂无,Android 4.0.3 以上,5.83MB,2017年12月28日,2.0.3
网上购物-团购,美团团购Pad版_美食电影团购优惠,6,北京三快科技有限公司,35.7万,暂无,Android 2.3.2 以上,10.98MB,2015年02月28日,5.4
网上购物-商城-团购-优惠,萌店,91,上海萌店信息科技有限公司,184.7万,53.00%,Android 4.0.2 以上,34.79MB,2017年11月27日,4.10.1
网上购物-团购,美团拍店,11,北京三快在线科技有限公司,5.3万,88.00%,Android 4.1.x 以上,7.78MB,2017年11月18日,3.9.1
网上购物-团购-优惠,窝窝团,104,北京窝窝团信息技术有限公司,367.1万,39.00%,Android 2.2.x 以上,5.33MB,2016年05月17日,5.3.0
网上购物-团购,鱼乐贝贝,1,北京鱼乐贝贝教育科技有限公司,5.2万,暂无,Android 2.2.x 以上,3MB,2014年09月02日,2.0
网上购物-团购,屈臣氏中国,19,武汉屈臣氏个人用品商店有限公司昆山第二分公司,30.3万,59.00%,Android 4.2.x 以上,27.1MB,2017年11月20日,7.5
网上购物-团购,拼趣多,2,深圳市前海朵莓网络科技有限公司,4.6万,100.00%,Android 4.4.4 以上,15.75MB,2018年04月08日,2.4.1
网上购物-商城-团购,乐蜂网,106,乐蜂（上海）信息技术有限公司,167.1万,100.00%,Android 4.1.x 以上,28.95MB,2018年01月30日,5.8.0
网上购物-团购,超级淘PRO,3,东莞市超级淘电子商务有限公司,5265,100.00%,Android 4.2.x 以上,44.66MB,2018年04月10日,1.10.50
网上购物-团购-优惠,实惠,132,杭州酷跃科技有限公司,175.7万,66.00%,Android 4.0.2 以上,24.5MB,2018年04月02日,3.5.0
网上购物-团购-优惠,团800,127,团800,135.7万,8.00%,Android 2.2.x 以上,7.03MB,2015年01月31日,6.1.1
网上购物-团购,啊客扎咪商家,0,怒江斯辰网络科技有限公司,2130,暂无,Android 2.3.2 以上,9.13MB,2017年07月21日,1.0.11
网上购物-团购,券券优惠券,0,无锡摩笔世纪科技有限公司,3960,暂无,Android 4.0.3 以上,12.4MB,2018年03月30日,4.5
网上购物-团购,出厂价,0,,1095,暂无,Android 2.2.x 以上,10.99MB,2015年03月13日,1.0.0.5
网上购物-团购,Babyun3,-1,南京贝贝云网络科技有限公司,4.7万,暂无,Android 4.0.2 以上,24.97MB,2017年06月15日,3.4.5
